question_text,question_context,grade,topic,followup_1,followup_1_context,followup_2,followup_2_context,answer_junior,answer_middle,answer_senior,source
Чем Kafka отличается от RabbitMQ и что выбрать под задачу?,"Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",мидл,интеграции,"Куда пойдёт сообщение, если консьюмер прочитал его в Kafka - оно удалится?","интервьюер хочет проверить, как ты применишь ответ на практике.",В каком случае RabbitMQ будет лучше Kafka?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Оба брокеры сообщений, Kafka популярнее. Минус: нет критериев выбора.","Kafka - лог, RabbitMQ - очередь. Минус: знает ярлыки, не связывает с задачей.","Kafka - распределённый лог: сообщения не удаляются после чтения, хранятся по retention, консьюмер держит offset и может перечитать; сильна в высокой пропускной способности, стриминге, нескольких независимых потребителях одного потока событий. RabbitMQ - классический брокер с очередями и гибкой маршрутизацией (exchange, routing key): сообщение удаляется после ack, есть приоритеты, TTL, встроенный DLX. RabbitMQ лучше, когда нужна сложная маршрутизация, per-message TTL и приоритеты, паттерн task queue с конкурирующими воркерами и умеренный объём. Kafka лучше, когда нужны реплей событий, аудит, несколько разных подписчиков и большие объёмы.","Веб, частые вопросы 2026"
Что такое CAP-теорема и как она влияет на проектирование?,"Представь, что интервьюер просит тебя объяснить архитектурное решение на реальном продукте.",сеньор,архитектура,Что на практике выбирают чаще - CP или AP? Приведи пример каждого.,"интервьюер хочет проверить, как ты применишь ответ на практике.",Что такое eventual consistency и когда она недопустима?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Consistency, Availability, Partition tolerance - можно выбрать два. Минус: заученная формулировка.","Объясняет три свойства и компромисс. Минус: не понимает, что P не выбирают.","Формулировка выбери два из трёх вводит в заблуждение: в распределённой системе сетевые разделения происходят, значит P не опция, а данность. Реальный выбор - что делать во время разделения: отказать в обслуживании ради согласованности (CP) или ответить возможно устаревшими данными ради доступности (AP). CP - платежи, остатки на счетах: лучше ошибка, чем двойное списание. AP - лента, каталог, счётчики просмотров: устаревшие данные на секунду безвредны. Eventual consistency - гарантия, что реплики сойдутся когда-нибудь при отсутствии новых записей; недопустима там, где решение принимается по данным и цена ошибки высока: списание денег, бронирование последнего места, проверка прав доступа.","Веб, частые вопросы 2026"
"Как ты обеспечиваешь безопасность API: аутентификация, авторизация, защита данных?","Представь, что в проекте нужно учесть безопасность еще на этапе системного анализа.",мидл,безопасность,Что внутри JWT и почему нельзя хранить в нём чувствительные данные?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Чем аутентификация отличается от авторизации? Где проверяется каждая?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Есть токен, по нему пускают. Минус: путает аутентификацию и авторизацию.",Знает про JWT и OAuth. Минус: не понимает структуру токена и границы доверия.,"Аутентификация - кто ты (проверка личности, выдача токена), авторизация - что тебе можно (проверка прав на конкретный ресурс). Аутентификацию обычно терминируют на gateway, доменную авторизацию проверяет сам сервис - он единственный знает, чей это объект. JWT - три части: header, payload, signature, разделённые точками. Payload закодирован base64, а не зашифрован: его читает любой, кто перехватил токен, поэтому персональные данные, номера карт и внутренние секреты туда класть нельзя - только идентификаторы и роли. Подпись защищает от подмены, но не от чтения. Плюс: короткий TTL access-токена и refresh-токен, HTTPS обязателен, отзыв через blacklist или короткий срок жизни, проверка issuer и audience.","Веб, частые вопросы 2026"
Как защитить callback-эндпоинт для вебхуков от внешней системы?,"Представь, что в проекте нужно учесть безопасность еще на этапе системного анализа.",сеньор,безопасность,"Как убедиться, что вебхук пришёл действительно от провайдера?","интервьюер хочет проверить, как ты применишь ответ на практике.",Провайдер прислал один и тот же вебхук трижды. Что должно произойти?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Проверю, что запрос пришёл на наш URL. Минус: любой может дёрнуть эндпоинт.","Проверю токен в заголовке. Минус: нет подписи, replay-защиты, идемпотентности.","Подлинность: HMAC-подпись тела запроса секретом, известным обеим сторонам, - провайдер кладёт её в заголовок, мы пересчитываем и сравниваем; сравнение constant-time. Плюс allowlist IP провайдера и mTLS, если поддерживается. Защита от replay: в подпись включается timestamp, запросы старше нескольких минут отбрасываются. Идемпотентность обязательна: у события есть свой id, мы сохраняем обработанные id и на повтор отвечаем 200, не обрабатывая заново - провайдеры ретраят по таймауту, и три одинаковых вебхука это норма, а не аномалия. Отвечать 200 нужно быстро, до тяжёлой обработки: приняли, положили в очередь, ответили - иначе провайдер посчитает доставку неуспешной и пришлёт ещё раз.","Веб, частые вопросы 2026"
"Как ты будешь описывать интеграцию, если внешняя система периодически недоступна?","Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",мидл-сеньор,интеграции,Что такое circuit breaker и зачем он нужен поверх ретраев?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Когда ретраи опасны?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Будем повторять запрос, пока не получится. Минус: бесконечные ретраи добьют внешнюю систему.","Настроим ретраи с таймаутом. Минус: нет backoff, нет предохранителя, нет идемпотентности.","Слоями: таймаут на каждый вызов (обязательно, иначе поток висит), ретраи с экспоненциальным backoff и jitter, ограниченное число попыток, circuit breaker, fallback-сценарий и явное поведение для пользователя. Circuit breaker нужен поверх ретраев потому, что ретраи при массовом сбое усиливают нагрузку и добивают уже упавшую систему; предохранитель после N ошибок размыкает цепь и какое-то время отвечает отказом мгновенно, потом пропускает пробный запрос. Ретраи опасны, когда операция неидемпотентна: повтор создания платежа или заказа без idempotency-key даст дубль - формально таймаут не означает, что операция не выполнилась. Поэтому либо идемпотентность на стороне провайдера, либо перевод в асинхронный сценарий со сверкой статуса.","Веб, частые вопросы 2026"
В чём отличие верификации требований от валидации?,"Представь, что интервьюер проверяет, как ты работаешь с требованиями в реальном проекте.",мидл,требования,Кто участвует в каждой из процедур?,"интервьюер хочет проверить, как ты применишь ответ на практике.","Требование прошло верификацию, но провалило валидацию. Что это значит?",Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,Это про проверку требований. Минус: не различает.,"Верификация - правильно ли написано, валидация - то ли написали. Минус: определение без практики.","Верификация - делаем ли мы продукт правильно: требование корректно, непротиворечиво, измеримо, трассируемо, тестируемо. Проверяют аналитик, разработка, тестирование, архитектор - внутренняя команда. Валидация - делаем ли мы правильный продукт: требование действительно решает проблему бизнеса и пользователя. Проверяют заказчик и пользователи, через демо, прототипы, пилот. Пройти верификацию и провалить валидацию - классика: требование написано безупречно, реализуемо и протестировано, но решает не ту проблему или уже неактуально - деньги потрачены на аккуратно сделанную ненужную вещь. Поэтому валидацию нельзя откладывать до приёмки.","Веб, частые вопросы 2026"
Какие нотации моделирования применяешь и под какие задачи?,"Представь, что интервьюер проверяет, как ты работаешь с требованиями в реальном проекте.",джун-мидл,требования,Чем Sequence-диаграмма отличается от Activity? Когда что берёшь?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Чем BPMN отличается от UML Activity?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,Рисую блок-схемы и диаграммы. Минус: нет системы выбора.,"Знаю UML и BPMN, рисую sequence и activity. Минус: выбирает по привычке, а не по задаче.","Выбираю нотацию под вопрос, на который отвечаю. Sequence - взаимодействие во времени: кто кого вызывает, в каком порядке, синхронно или нет, где таймауты и ошибки; главный инструмент для интеграций. Activity - алгоритм и ветвления внутри процесса, ближе к блок-схеме. BPMN - бизнес-процесс с участниками (пулы, дорожки), событиями и исполнителями; понятен бизнесу и, в отличие от Activity, исполним движком. State machine - жизненный цикл сущности и допустимые переходы, незаменима для статусной модели заказа. ER - структура данных. C4 - архитектура. Правило: одна диаграмма отвечает на один вопрос одной аудитории.","Веб, частые вопросы 2026"
Что такое stateless и stateful применительно к сервисам? REST - какой из них?,"Представь, что интервьюер просит тебя объяснить архитектурное решение на реальном продукте.",джун-мидл,архитектура,Почему stateless проще масштабировать?,"интервьюер хочет проверить, как ты применишь ответ на практике.","Где тогда живёт сессия пользователя, если сервис stateless?",Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,Stateless - без состояния. Минус: определение без следствий.,"Stateless не хранит состояние между запросами, REST stateless. Минус: не объясняет, зачем это нужно.","Stateless-сервис не хранит состояние клиента между запросами: каждый запрос самодостаточен и содержит всё нужное для обработки. REST по определению stateless - в этом одно из его ограничений. Масштабировать проще потому, что любой инстанс может обработать любой запрос: можно добавлять и убивать поды без липких сессий, балансировщик не обязан помнить, куда ходил клиент, падение инстанса не теряет пользовательский контекст. Состояние при этом никуда не исчезает - оно выносится: в токен на стороне клиента (JWT), во внешнее хранилище (Redis, БД) или передаётся в самом запросе. Stateless - это не отсутствие состояния в системе, а отсутствие его в памяти конкретного инстанса.","Веб, частые вопросы 2026"
Как аналитику описать rate limiting в требованиях к API?,"Представь, что в проекте нужно учесть безопасность еще на этапе системного анализа.",мидл,безопасность,Какой код ответа вернуть при превышении лимита и что положить в заголовки?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Лимит на пользователя или на IP? В чём разница и когда что?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,Ограничим число запросов. Минус: нет параметров и поведения.,"Например, 100 запросов в минуту, дальше ошибка. Минус: нет кода, заголовков, алгоритма.","В требованиях: субъект лимита (пользователь, API-ключ, IP, tenant), значение и окно (100 запросов в минуту), алгоритм (fixed window прост, но даёт всплеск на стыке окон; sliding window точнее; token bucket допускает контролируемый burst), поведение при превышении и исключения для внутренних клиентов. Ответ: 429 Too Many Requests, обязательно Retry-After с указанием, когда можно повторить, плюс заголовки с лимитом, остатком и временем сброса - иначе клиент будет долбиться вслепую. Лимит по IP ловит анонимных и ботов, но бьёт по всем за одним NAT (офис, мобильный оператор) и обходится сменой адреса. Лимит по пользователю или API-ключу справедлив и точен, но требует аутентификации, поэтому на публичных эндпоинтах их комбинируют.","Веб, частые вопросы 2026"
Что такое correlation id и зачем он нужен?,"Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",джун-мидл,интеграции,Кто его генерирует и как он живёт в асинхронной цепочке через брокер?,"интервьюер хочет проверить, как ты применишь ответ на практике.",Чем correlation id отличается от идентификатора бизнес-операции?,Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Это идентификатор запроса. Минус: не понимает, зачем.","Нужен, чтобы найти запрос в логах. Минус: не связывает с распределённой трассировкой.","Correlation id - сквозной идентификатор, который проходит через все сервисы в рамках одной операции и позволяет собрать её след из логов разных систем; без него в микросервисах разбор инцидента превращается в археологию. Генерирует его первый принявший запрос (обычно gateway), если клиент не прислал свой; дальше он прокидывается в заголовке при синхронных вызовах и в заголовке сообщения при публикации в брокер - именно поэтому в контракте сообщения его нужно предусмотреть заранее, иначе асинхронная ветка теряет связь. Бизнес-идентификатор (номер заказа) живёт в домене и понятен пользователю, correlation id технический и живёт одну операцию: по одному заказу может пройти десяток операций с разными correlation id.","Веб, частые вопросы 2026"
Что должно быть в постановке для пользовательского интерфейса?,"Представь, что интервьюер проверяет, как ты работаешь с требованиями в реальном проекте.",джун-мидл,требования,"Как описываешь состояния экрана: загрузка, пустое, ошибка?","интервьюер хочет проверить, как ты применишь ответ на практике.","Кто владелец текстов и что делаешь, если макета ещё нет?",Теперь интервьюер углубляет кейс и проверяет последствия твоего решения.,"Приложу макет и опишу, что где нажимается. Минус: разработчик додумает половину.","Макет, описание полей и действий. Минус: нет состояний, валидаций, крайних случаев.","Макет плюс то, чего в макете нет: все состояния экрана (загрузка, пусто, частично загружено, ошибка сети, ошибка сервера, нет прав), правила валидации каждого поля и точные тексты ошибок, что происходит при потере связи и повторном нажатии кнопки, поведение при длинных значениях и граничных данных, права доступа - кто что видит, аналитика (какие события шлём), доступность и локализация. Тексты - зона ответственности продукта или редактора, но фиксирую их я в постановке, чтобы не было отсебятины в коде. Если макета нет - не жду его: описываю сценарий, поля, данные и правила, а верстку помечаю как зависимость с явным сроком, иначе задача встанет.","Веб, частые вопросы 2026"
Как построить интеграцию между личным кабинетом и сервисом банковской выписки при высокой нагрузке (40 млн запросов в месяц)? Каким способом перевести это в асинхронный режим? Как организовать потоки в Kafka и распределить данные по партициям?,"Представь, что интервьюер проверяет проектирование интеграции на практическом системном кейсе. Тема исходного документа: «Интеграция для формирования банковской выписки».",сеньор,интеграции,а если клиент запросит выписку за 3 года вместо 3 месяцев - решение то же?,Интервьюер усложняет исходный кейс и проверяет влияние большого диапазона данных на разбиение и SLA.,а что если одна из систем-источников данных временно недоступна - выписка формируется частично или ждёт всех?,Теперь интервьюер проверяет отказоустойчивость цепочки источников и последствия выбранного решения.,"Для долгой операции нужен асинхронный job: принять запрос, вернуть идентификатор и формировать выписку в фоне. Для джуна достаточно корректно назвать базовые понятия и ход решения; минусом будет ответ без применения к кейсу.","Для долгой операции нужен асинхронный job: принять запрос, вернуть идентификатор и формировать выписку в фоне. Нужно разделить команды и результаты по Kafka-топикам, выбрать ключ партиционирования по клиенту или заявке, обеспечить идемпотентность, ретраи и уведомление через push, webhook или polling. От мидла ожидается связное решение с контрактами, ошибками и ограничениями.","Для долгой операции нужен асинхронный job: принять запрос, вернуть идентификатор и формировать выписку в фоне. Нужно разделить команды и результаты по Kafka-топикам, выбрать ключ партиционирования по клиенту или заявке, обеспечить идемпотентность, ретраи и уведомление через push, webhook или polling. Сильный ответ оценивает объём и SLA, хранение статуса job, backpressure, DLQ, трассировку, частичный результат и политику деградации источников.",Google Doc «Вопросы для бота»: https://docs.google.com/document/d/1LSoS996VSoVt1HOYazlfqBFc5dgIQ3EmM72rivm6unc/edit?tab=t.0; опорный источник: https://kafka.apache.org/41/design/design/
Спроектировать методы создания задачи и получения задачи по ID.,"Представь, что интервьюер проверяет проектирование интеграции на практическом системном кейсе. Тема исходного документа: «Проектирование REST API для task-трекера».",джун-мидл,интеграции,а как спроектируете метод обновления статуса задачи - отдельный эндпоинт или общий PATCH?,Интервьюер усложняет исходный кейс и проверяет выбор семантики обновления ресурса.,"что вернете, если запросили задачу по несуществующему ID?",Теперь интервьюер проверяет контракт ошибок и отсутствие ресурса и последствия выбранного решения.,Создание: POST /tasks с телом и ответом 201; получение: GET /tasks/{id} с 200 или 404. Для джуна достаточно корректно назвать базовые понятия и ход решения; минусом будет ответ без применения к кейсу.,"Создание: POST /tasks с телом и ответом 201; получение: GET /tasks/{id} с 200 или 404. Нужно описать схему полей, обязательность, валидацию, авторизацию, единый формат ошибок и PATCH для частичного изменения. От мидла ожидается связное решение с контрактами, ошибками и ограничениями.","Создание: POST /tasks с телом и ответом 201; получение: GET /tasks/{id} с 200 или 404. Нужно описать схему полей, обязательность, валидацию, авторизацию, единый формат ошибок и PATCH для частичного изменения. Сильный ответ добавляет идемпотентность создания, optimistic locking, аудит статусов, пагинацию списка и правила обратной совместимости.",Google Doc «Вопросы для бота»: https://docs.google.com/document/d/1LSoS996VSoVt1HOYazlfqBFc5dgIQ3EmM72rivm6unc/edit?tab=t.0; опорный источник: https://www.rfc-editor.org/rfc/rfc9110
"В чём разница между HTTP и HTTPS, какие данные шифруются? Чем отличаются TCP и UDP?","Представь, что интервьюер проверяет проектирование интеграции на практическом системном кейсе. Тема исходного документа: «HTTP/HTTPS, TCP/UDP».",джун,интеграции,"а зачем тогда вообще нужен UDP, если он не гарантирует доставку?",Интервьюер усложняет исходный кейс и проверяет осознанный выбор транспорта под требования.,если сертификат на сервере просрочен - что увидит пользователь и что произойдёт с запросом?,Теперь интервьюер проверяет аутентификацию сервера сертификатом и последствия выбранного решения.,"HTTPS — HTTP поверх TLS: шифруются HTTP-заголовки и тело, а TCP обеспечивает порядок и доставку; UDP отправляет датаграммы без таких гарантий. Для джуна достаточно корректно назвать базовые понятия и ход решения; минусом будет ответ без применения к кейсу.","HTTPS — HTTP поверх TLS: шифруются HTTP-заголовки и тело, а TCP обеспечивает порядок и доставку; UDP отправляет датаграммы без таких гарантий. Нужно объяснить TLS-сертификат, проверку имени сервера и сценарии UDP: real-time, DNS, телеметрия, где важнее задержка. От мидла ожидается связное решение с контрактами, ошибками и ограничениями.","HTTPS — HTTP поверх TLS: шифруются HTTP-заголовки и тело, а TCP обеспечивает порядок и доставку; UDP отправляет датаграммы без таких гарантий. Нужно объяснить TLS-сертификат, проверку имени сервера и сценарии UDP: real-time, DNS, телеметрия, где важнее задержка. Сильный ответ различает уровни модели, не обещает скрытие IP/метаданных, говорит о TLS handshake, потере/переупорядочивании UDP и компенсации на уровне приложения.",Google Doc «Вопросы для бота»: https://docs.google.com/document/d/1LSoS996VSoVt1HOYazlfqBFc5dgIQ3EmM72rivm6unc/edit?tab=t.0; опорный источник: https://www.rfc-editor.org/rfc/rfc9110
Расшифровать элементы предложенной BPMN-схемы.,"Представь, что интервьюер проверяет работу аналитика с требованиями, моделями и командой. Тема исходного документа: «BPMN-диаграмма».",джун-мидл,требования,"а как на этой схеме показать, что после ошибки процесс должен вернуться на предыдущий шаг?",Интервьюер усложняет исходный кейс и проверяет моделирование возврата и ошибки.,чем промежуточное событие отличается от шлюза - в каком случае что использовать?,Теперь интервьюер проверяет различие события и управляющего шлюза и последствия выбранного решения.,"Кандидат должен различать события, задачи, шлюзы, sequence flow, message flow, пулы и дорожки. Для джуна достаточно корректно назвать базовые понятия и ход решения; минусом будет ответ без применения к кейсу.","Кандидат должен различать события, задачи, шлюзы, sequence flow, message flow, пулы и дорожки. Нужно читать токен процесса и объяснять, почему элемент выбран по семантике, а не по внешнему виду. От мидла ожидается связное решение с контрактами, ошибками и ограничениями.","Кандидат должен различать события, задачи, шлюзы, sequence flow, message flow, пулы и дорожки. Нужно читать токен процесса и объяснять, почему элемент выбран по семантике, а не по внешнему виду. Сильный ответ корректно моделирует ошибки, компенсации, параллельность и циклы, сохраняя диаграмму понятной бизнесу.",Google Doc «Вопросы для бота»: https://docs.google.com/document/d/1LSoS996VSoVt1HOYazlfqBFc5dgIQ3EmM72rivm6unc/edit?tab=t.0; опорный источник: https://www.omg.org/bpmn/
"Вывести ID групп с количеством студентов меньше 10, включая группы без единого студента.","Представь, что собеседование дошло до модели данных, SQL и гарантий хранения. Тема исходного документа: «SQL-задача: группы студентов».",мидл,бд,"а как изменится запрос, если нужно вывести не количество, а сами группы, отсортированные по числу студентов?",Интервьюер усложняет исходный кейс и проверяет работу агрегата и сортировку групп.,если у части студентов group_id пустой (NULL) - как это повлияет на результат?,Теперь интервьюер проверяет влияние NULL и направления связи и последствия выбранного решения.,"Нужен LEFT JOIN от groups к students, GROUP BY группы и HAVING COUNT(student.id) < 10; COUNT по полю не считает NULL. Для джуна достаточно корректно назвать базовые понятия и ход решения; минусом будет ответ без применения к кейсу.","Нужен LEFT JOIN от groups к students, GROUP BY группы и HAVING COUNT(student.id) < 10; COUNT по полю не считает NULL. Кандидат должен объяснить, почему INNER JOIN потеряет пустые группы, как влияет NULL group_id и как сортировать агрегат. От мидла ожидается связное решение с контрактами, ошибками и ограничениями.","Нужен LEFT JOIN от groups к students, GROUP BY группы и HAVING COUNT(student.id) < 10; COUNT по полю не считает NULL. Кандидат должен объяснить, почему INNER JOIN потеряет пустые группы, как влияет NULL group_id и как сортировать агрегат. Сильный ответ обсуждает корректный ключ группировки, COUNT(*), COUNT(column), план запроса и индексы по внешнему ключу.",Google Doc «Вопросы для бота»: https://docs.google.com/document/d/1LSoS996VSoVt1HOYazlfqBFc5dgIQ3EmM72rivm6unc/edit?tab=t.0; опорный источник: https://www.postgresql.org/docs/current/
"Опыт работы с UML, Cassandra, Redis, Kafka, чтение чужого кода.","Представь, что интервьюер просит обосновать архитектурное решение и его ограничения. Тема исходного документа: «Стек и инструменты».",мидл-сеньор,архитектура,а если бы вам предложили внедрить Cassandra на текущем проекте - в каком случае это было бы оправдано?,"Интервьюер усложняет исходный кейс и проверяет обоснование Cassandra требованиями, а не модой.","чем задача, для которой вы использовали Redis, отличалась от задачи, где нужна была бы обычная БД?",Теперь интервьюер проверяет границу между кэшем и системой записи и последствия выбранного решения.,"Важно не перечислить технологии, а связать UML, Cassandra, Redis, Kafka и чтение кода с конкретными задачами. Для джуна достаточно корректно назвать базовые понятия и ход решения; минусом будет ответ без применения к кейсу.","Важно не перечислить технологии, а связать UML, Cassandra, Redis, Kafka и чтение кода с конкретными задачами. Ожидаются критерии выбора: модель данных и нагрузка для Cassandra, TTL и допустимая потеря для Redis, события и порядок для Kafka. От мидла ожидается связное решение с контрактами, ошибками и ограничениями.","Важно не перечислить технологии, а связать UML, Cassandra, Redis, Kafka и чтение кода с конкретными задачами. Ожидаются критерии выбора: модель данных и нагрузка для Cassandra, TTL и допустимая потеря для Redis, события и порядок для Kafka. Сильный ответ называет ограничения, эксплуатационную цену, наблюдаемость и случаи, когда внедрять инструмент не следует.",Google Doc «Вопросы для бота»: https://docs.google.com/document/d/1LSoS996VSoVt1HOYazlfqBFc5dgIQ3EmM72rivm6unc/edit?tab=t.0; опорный источник: https://docs.aws.amazon.com/wellarchitected/latest/framework/welcome.html
"Причина смены работы, ожидания по зарплате, наличие офферов.","Представь, что интервьюер проверяет работу аналитика с требованиями, моделями и командой. Тема исходного документа: «Условия перехода».",джун-мидл,требования,а если оффер с текущим ожиданием по зарплате не поступит - готовы рассмотреть меньшую сумму?,Интервьюер усложняет исходный кейс и проверяет гибкость ожиданий без потери собственных границ.,что из текущих задач вам было бы жаль потерять при смене места?,Теперь интервьюер проверяет осознанный выбор следующей роли и последствия выбранного решения.,"Ожидается честная и нейтральная причина перехода без обесценивания прошлой команды, плюс понятные ожидания от роли. Для джуна достаточно корректно назвать базовые понятия и ход решения; минусом будет ответ без применения к кейсу.","Ожидается честная и нейтральная причина перехода без обесценивания прошлой команды, плюс понятные ожидания от роли. Ответ связывает зарплатные ожидания с рынком и ответственностью, а выбор оффера — с задачами, командой, ростом и условиями. От мидла ожидается связное решение с контрактами, ошибками и ограничениями.","Ожидается честная и нейтральная причина перехода без обесценивания прошлой команды, плюс понятные ожидания от роли. Ответ связывает зарплатные ожидания с рынком и ответственностью, а выбор оффера — с задачами, командой, ростом и условиями. Сильный ответ показывает приоритеты и границы, умеет обсуждать компромисс и не раскрывает лишние конфиденциальные детали.",Google Doc «Вопросы для бота»: https://docs.google.com/document/d/1LSoS996VSoVt1HOYazlfqBFc5dgIQ3EmM72rivm6unc/edit?tab=t.0; опорный источник: https://docs.google.com/document/d/1LSoS996VSoVt1HOYazlfqBFc5dgIQ3EmM72rivm6unc/edit?tab=t.0
