question_text,question_context,grade,topic,followup_1,followup_1_context,followup_2,followup_2_context,answer_junior,answer_middle,answer_senior,source
Что такое API Gateway и зачем он нужен? Является ли он точкой отказа?,"Представь, что HR просит тебя объяснить архитектурное решение на реальном продукте.",мидл,архитектура,"Какие функции выносят в gateway, а какие оставляют в сервисах?","HR хочет проверить, как ты применишь ответ на практике.",Как избежать превращения gateway в узкое место?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Gateway - это вход в систему, через него идут запросы. Минус: нет функций и рисков.","Знает про маршрутизацию, авторизацию, rate limiting. Минус: не видит его как точку отказа.","API Gateway - единая точка входа: маршрутизация, аутентификация и авторизация, rate limiting, терминация TLS, агрегация метрик и логов, версионирование внешнего API. В сервисах остаётся бизнес-логика и доменная авторизация - в gateway её тащить нельзя, иначе он превращается в God Object. Да, это архитектурная точка отказа: если gateway лёг, недоступна вся система. Лечится резервированием (несколько инстансов за балансировщиком, разные зоны),healthcheck и автоматическим failover, отсутствием состояния в самом gateway, ограничением логики в нём и мониторингом его латентности отдельно от сервисов.","Веб, частые вопросы 2026"
Что такое хореография и оркестрация? В чём отличия?,"Представь, что HR просит тебя объяснить архитектурное решение на реальном продукте.",сеньор,архитектура,"Можно ли построить систему только на хореографии, без оркестрации?","HR хочет проверить, как ты применишь ответ на практике.",Ты добавляешь новый микросервис в существующую хореографию. Как не сломать остальных?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Оркестрация - есть главный, хореография - нет. Минус: определение без последствий.",Объясняет разницу и приводит пример. Минус: не называет цену каждого подхода.,"Оркестрация: центральный координатор явно вызывает шаги и знает весь процесс - легко отследить и отладить, весь сценарий в одном месте, но координатор становится узким местом и точкой связанности. Хореография: сервисы публикуют события и реагируют на чужие, центра нет - слабая связанность и лёгкое добавление подписчиков, но общий процесс нигде не описан целиком, отладка и отслеживание состояния сложнее, легко получить неявные циклы. Только на хореографии построить можно, но на сложных процессах с компенсациями и таймаутами это дорого: обычно длинные бизнес-процессы оркеструют, а уведомления и побочные эффекты делают хореографией. Новый подписчик безопасен, если он только читает существующие события и не меняет их контракт, не публикует события с уже занятыми именами и идемпотентен - тогда остальные его просто не замечают.","Веб, частые вопросы 2026"
Чем Kafka отличается от RabbitMQ и что выбрать под задачу?,"Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",мидл,интеграции,"Куда пойдёт сообщение, если консьюмер прочитал его в Kafka - оно удалится?","HR хочет проверить, как ты применишь ответ на практике.",В каком случае RabbitMQ будет лучше Kafka?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Оба брокеры сообщений, Kafka популярнее. Минус: нет критериев выбора.","Kafka - лог, RabbitMQ - очередь. Минус: знает ярлыки, не связывает с задачей.","Kafka - распределённый лог: сообщения не удаляются после чтения, хранятся по retention, консьюмер держит offset и может перечитать; сильна в высокой пропускной способности, стриминге, нескольких независимых потребителях одного потока событий. RabbitMQ - классический брокер с очередями и гибкой маршрутизацией (exchange, routing key): сообщение удаляется после ack, есть приоритеты, TTL, встроенный DLX. RabbitMQ лучше, когда нужна сложная маршрутизация, per-message TTL и приоритеты, паттерн task queue с конкурирующими воркерами и умеренный объём. Kafka лучше, когда нужны реплей событий, аудит, несколько разных подписчиков и большие объёмы.","Веб, частые вопросы 2026"
Что такое CAP-теорема и как она влияет на проектирование?,"Представь, что HR просит тебя объяснить архитектурное решение на реальном продукте.",сеньор,архитектура,Что на практике выбирают чаще - CP или AP? Приведи пример каждого.,"HR хочет проверить, как ты применишь ответ на практике.",Что такое eventual consistency и когда она недопустима?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Consistency, Availability, Partition tolerance - можно выбрать два. Минус: заученная формулировка.","Объясняет три свойства и компромисс. Минус: не понимает, что P не выбирают.","Формулировка выбери два из трёх вводит в заблуждение: в распределённой системе сетевые разделения происходят, значит P не опция, а данность. Реальный выбор - что делать во время разделения: отказать в обслуживании ради согласованности (CP) или ответить возможно устаревшими данными ради доступности (AP). CP - платежи, остатки на счетах: лучше ошибка, чем двойное списание. AP - лента, каталог, счётчики просмотров: устаревшие данные на секунду безвредны. Eventual consistency - гарантия, что реплики сойдутся когда-нибудь при отсутствии новых записей; недопустима там, где решение принимается по данным и цена ошибки высока: списание денег, бронирование последнего места, проверка прав доступа.","Веб, частые вопросы 2026"
"Как ты обеспечиваешь безопасность API: аутентификация, авторизация, защита данных?","Представь, что в проекте нужно учесть безопасность еще на этапе системного анализа.",мидл,безопасность,Что внутри JWT и почему нельзя хранить в нём чувствительные данные?,"HR хочет проверить, как ты применишь ответ на практике.",Чем аутентификация отличается от авторизации? Где проверяется каждая?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Есть токен, по нему пускают. Минус: путает аутентификацию и авторизацию.",Знает про JWT и OAuth. Минус: не понимает структуру токена и границы доверия.,"Аутентификация - кто ты (проверка личности, выдача токена), авторизация - что тебе можно (проверка прав на конкретный ресурс). Аутентификацию обычно терминируют на gateway, доменную авторизацию проверяет сам сервис - он единственный знает, чей это объект. JWT - три части: header, payload, signature, разделённые точками. Payload закодирован base64, а не зашифрован: его читает любой, кто перехватил токен, поэтому персональные данные, номера карт и внутренние секреты туда класть нельзя - только идентификаторы и роли. Подпись защищает от подмены, но не от чтения. Плюс: короткий TTL access-токена и refresh-токен, HTTPS обязателен, отзыв через blacklist или короткий срок жизни, проверка issuer и audience.","Веб, частые вопросы 2026"
Как защитить callback-эндпоинт для вебхуков от внешней системы?,"Представь, что в проекте нужно учесть безопасность еще на этапе системного анализа.",сеньор,безопасность,"Как убедиться, что вебхук пришёл действительно от провайдера?","HR хочет проверить, как ты применишь ответ на практике.",Провайдер прислал один и тот же вебхук трижды. Что должно произойти?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Проверю, что запрос пришёл на наш URL. Минус: любой может дёрнуть эндпоинт.","Проверю токен в заголовке. Минус: нет подписи, replay-защиты, идемпотентности.","Подлинность: HMAC-подпись тела запроса секретом, известным обеим сторонам, - провайдер кладёт её в заголовок, мы пересчитываем и сравниваем; сравнение constant-time. Плюс allowlist IP провайдера и mTLS, если поддерживается. Защита от replay: в подпись включается timestamp, запросы старше нескольких минут отбрасываются. Идемпотентность обязательна: у события есть свой id, мы сохраняем обработанные id и на повтор отвечаем 200, не обрабатывая заново - провайдеры ретраят по таймауту, и три одинаковых вебхука это норма, а не аномалия. Отвечать 200 нужно быстро, до тяжёлой обработки: приняли, положили в очередь, ответили - иначе провайдер посчитает доставку неуспешной и пришлёт ещё раз.","Веб, частые вопросы 2026"
"Как ты будешь описывать интеграцию, если внешняя система периодически недоступна?","Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",мидл-сеньор,интеграции,Что такое circuit breaker и зачем он нужен поверх ретраев?,"HR хочет проверить, как ты применишь ответ на практике.",Когда ретраи опасны?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Будем повторять запрос, пока не получится. Минус: бесконечные ретраи добьют внешнюю систему.","Настроим ретраи с таймаутом. Минус: нет backoff, нет предохранителя, нет идемпотентности.","Слоями: таймаут на каждый вызов (обязательно, иначе поток висит), ретраи с экспоненциальным backoff и jitter, ограниченное число попыток, circuit breaker, fallback-сценарий и явное поведение для пользователя. Circuit breaker нужен поверх ретраев потому, что ретраи при массовом сбое усиливают нагрузку и добивают уже упавшую систему; предохранитель после N ошибок размыкает цепь и какое-то время отвечает отказом мгновенно, потом пропускает пробный запрос. Ретраи опасны, когда операция неидемпотентна: повтор создания платежа или заказа без idempotency-key даст дубль - формально таймаут не означает, что операция не выполнилась. Поэтому либо идемпотентность на стороне провайдера, либо перевод в асинхронный сценарий со сверкой статуса.","Веб, частые вопросы 2026"
В чём отличие верификации требований от валидации?,"Представь, что HR проверяет, как ты работаешь с требованиями в реальном проекте.",мидл,требования,Кто участвует в каждой из процедур?,"HR хочет проверить, как ты применишь ответ на практике.","Требование прошло верификацию, но провалило валидацию. Что это значит?",Теперь HR углубляет кейс и проверяет последствия твоего решения.,Это про проверку требований. Минус: не различает.,"Верификация - правильно ли написано, валидация - то ли написали. Минус: определение без практики.","Верификация - делаем ли мы продукт правильно: требование корректно, непротиворечиво, измеримо, трассируемо, тестируемо. Проверяют аналитик, разработка, тестирование, архитектор - внутренняя команда. Валидация - делаем ли мы правильный продукт: требование действительно решает проблему бизнеса и пользователя. Проверяют заказчик и пользователи, через демо, прототипы, пилот. Пройти верификацию и провалить валидацию - классика: требование написано безупречно, реализуемо и протестировано, но решает не ту проблему или уже неактуально - деньги потрачены на аккуратно сделанную ненужную вещь. Поэтому валидацию нельзя откладывать до приёмки.","Веб, частые вопросы 2026"
Какие нотации моделирования применяешь и под какие задачи?,"Представь, что HR проверяет, как ты работаешь с требованиями в реальном проекте.",джун-мидл,требования,Чем Sequence-диаграмма отличается от Activity? Когда что берёшь?,"HR хочет проверить, как ты применишь ответ на практике.",Чем BPMN отличается от UML Activity?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,Рисую блок-схемы и диаграммы. Минус: нет системы выбора.,"Знаю UML и BPMN, рисую sequence и activity. Минус: выбирает по привычке, а не по задаче.","Выбираю нотацию под вопрос, на который отвечаю. Sequence - взаимодействие во времени: кто кого вызывает, в каком порядке, синхронно или нет, где таймауты и ошибки; главный инструмент для интеграций. Activity - алгоритм и ветвления внутри процесса, ближе к блок-схеме. BPMN - бизнес-процесс с участниками (пулы, дорожки), событиями и исполнителями; понятен бизнесу и, в отличие от Activity, исполним движком. State machine - жизненный цикл сущности и допустимые переходы, незаменима для статусной модели заказа. ER - структура данных. C4 - архитектура. Правило: одна диаграмма отвечает на один вопрос одной аудитории.","Веб, частые вопросы 2026"
Что такое stateless и stateful применительно к сервисам? REST - какой из них?,"Представь, что HR просит тебя объяснить архитектурное решение на реальном продукте.",джун-мидл,архитектура,Почему stateless проще масштабировать?,"HR хочет проверить, как ты применишь ответ на практике.","Где тогда живёт сессия пользователя, если сервис stateless?",Теперь HR углубляет кейс и проверяет последствия твоего решения.,Stateless - без состояния. Минус: определение без следствий.,"Stateless не хранит состояние между запросами, REST stateless. Минус: не объясняет, зачем это нужно.","Stateless-сервис не хранит состояние клиента между запросами: каждый запрос самодостаточен и содержит всё нужное для обработки. REST по определению stateless - в этом одно из его ограничений. Масштабировать проще потому, что любой инстанс может обработать любой запрос: можно добавлять и убивать поды без липких сессий, балансировщик не обязан помнить, куда ходил клиент, падение инстанса не теряет пользовательский контекст. Состояние при этом никуда не исчезает - оно выносится: в токен на стороне клиента (JWT), во внешнее хранилище (Redis, БД) или передаётся в самом запросе. Stateless - это не отсутствие состояния в системе, а отсутствие его в памяти конкретного инстанса.","Веб, частые вопросы 2026"
Что такое кэш и какие стратегии кэширования знаешь?,"Представь, что собеседование дошло до хранения данных и практических решений по базе.",мидл,бд,Как инвалидировать кэш? Какие проблемы это создаёт?,"HR хочет проверить, как ты применишь ответ на практике.",Что такое cache stampede и как его избежать?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,Кэш - чтобы быстрее отдавать данные. Минус: нет стратегий и рисков.,Знает cache-aside и TTL. Минус: не думает про инвалидацию и согласованность.,"Основные стратегии: cache-aside (приложение само читает кэш, при промахе идёт в БД и кладёт обратно - самая частая), read-through и write-through (кэш сам ходит в БД, запись синхронно в оба - согласованно, но медленнее на запись), write-behind (запись в кэш, в БД асинхронно - быстро, но риск потери). Инвалидация - главная сложность: TTL прост, но даёт окно устаревших данных; явная инвалидация точна, но легко забыть все места, где данные меняются, и получить рассинхрон. Cache stampede - когда популярный ключ протух и сотни параллельных запросов одновременно ломятся в БД; лечится блокировкой на пересчёт (один считает, остальные ждут), вероятностным ранним обновлением до истечения TTL и разбросом TTL, чтобы ключи не протухали синхронно.","Веб, частые вопросы 2026"
Как аналитику описать rate limiting в требованиях к API?,"Представь, что в проекте нужно учесть безопасность еще на этапе системного анализа.",мидл,безопасность,Какой код ответа вернуть при превышении лимита и что положить в заголовки?,"HR хочет проверить, как ты применишь ответ на практике.",Лимит на пользователя или на IP? В чём разница и когда что?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,Ограничим число запросов. Минус: нет параметров и поведения.,"Например, 100 запросов в минуту, дальше ошибка. Минус: нет кода, заголовков, алгоритма.","В требованиях: субъект лимита (пользователь, API-ключ, IP, tenant), значение и окно (100 запросов в минуту), алгоритм (fixed window прост, но даёт всплеск на стыке окон; sliding window точнее; token bucket допускает контролируемый burst), поведение при превышении и исключения для внутренних клиентов. Ответ: 429 Too Many Requests, обязательно Retry-After с указанием, когда можно повторить, плюс заголовки с лимитом, остатком и временем сброса - иначе клиент будет долбиться вслепую. Лимит по IP ловит анонимных и ботов, но бьёт по всем за одним NAT (офис, мобильный оператор) и обходится сменой адреса. Лимит по пользователю или API-ключу справедлив и точен, но требует аутентификации, поэтому на публичных эндпоинтах их комбинируют.","Веб, частые вопросы 2026"
Что такое correlation id и зачем он нужен?,"Представь, что на собеседовании обсуждают обмен данными между сервисами и надежность интеграций.",джун-мидл,интеграции,Кто его генерирует и как он живёт в асинхронной цепочке через брокер?,"HR хочет проверить, как ты применишь ответ на практике.",Чем correlation id отличается от идентификатора бизнес-операции?,Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Это идентификатор запроса. Минус: не понимает, зачем.","Нужен, чтобы найти запрос в логах. Минус: не связывает с распределённой трассировкой.","Correlation id - сквозной идентификатор, который проходит через все сервисы в рамках одной операции и позволяет собрать её след из логов разных систем; без него в микросервисах разбор инцидента превращается в археологию. Генерирует его первый принявший запрос (обычно gateway), если клиент не прислал свой; дальше он прокидывается в заголовке при синхронных вызовах и в заголовке сообщения при публикации в брокер - именно поэтому в контракте сообщения его нужно предусмотреть заранее, иначе асинхронная ветка теряет связь. Бизнес-идентификатор (номер заказа) живёт в домене и понятен пользователю, correlation id технический и живёт одну операцию: по одному заказу может пройти десяток операций с разными correlation id.","Веб, частые вопросы 2026"
Что должно быть в постановке для пользовательского интерфейса?,"Представь, что HR проверяет, как ты работаешь с требованиями в реальном проекте.",джун-мидл,требования,"Как описываешь состояния экрана: загрузка, пустое, ошибка?","HR хочет проверить, как ты применишь ответ на практике.","Кто владелец текстов и что делаешь, если макета ещё нет?",Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Приложу макет и опишу, что где нажимается. Минус: разработчик додумает половину.","Макет, описание полей и действий. Минус: нет состояний, валидаций, крайних случаев.","Макет плюс то, чего в макете нет: все состояния экрана (загрузка, пусто, частично загружено, ошибка сети, ошибка сервера, нет прав), правила валидации каждого поля и точные тексты ошибок, что происходит при потере связи и повторном нажатии кнопки, поведение при длинных значениях и граничных данных, права доступа - кто что видит, аналитика (какие события шлём), доступность и локализация. Тексты - зона ответственности продукта или редактора, но фиксирую их я в постановке, чтобы не было отсебятины в коде. Если макета нет - не жду его: описываю сценарий, поля, данные и правила, а верстку помечаю как зависимость с явным сроком, иначе задача встанет.","Веб, частые вопросы 2026"
Как ты работаешь с AI-инструментами в задачах аналитика?,"Представь, что HR оценивает не только знания, но и то, как ты объясняешь свое решение.",мидл,подача,"Где ИИ реально экономит время аналитику, а где вредит?","HR хочет проверить, как ты применишь ответ на практике.","Как проверяешь то, что сгенерировал ИИ, прежде чем отдать в разработку?",Теперь HR углубляет кейс и проверяет последствия твоего решения.,"Пользуюсь ChatGPT, спрашиваю формулировки. Минус: нет системы и проверки.",Использую для черновиков документации и SQL. Минус: не говорит про риски и валидацию.,"Использую там, где есть черновик и быстрая проверка: первичная структура постановки, генерация тест-кейсов и краевых случаев, черновик OpenAPI по описанию, разбор чужого легаси-кода, переформулировка требований под разную аудиторию, генерация SQL с последующей проверкой плана. Вредит там, где нужен контекст, которого у модели нет: доменные правила, договорённости с конкретной командой, ограничения легаси - там она уверенно выдумает. Проверка обязательна и всегда моя: сверяю с источником требований, прогоняю SQL на данных, отдаю контракт на ревью разработке, ищу молчаливые допущения. Правило простое: ИИ ускоряет черновик, ответственность за артефакт остаётся на мне.","Веб, частые вопросы 2026"
